74.6724 -100 51.7046  -0.0292724 0.99933 0.0219629  
41.4566 -100 132.863  0.0189195 0.998876 0.0434641  
62.8419 -100 113.14  -0.0597345 0.995485 0.073765  
35.0251 -100 142.078  0.0482555 0.998826 0.00413901  
83.4868 -100 112.114  0.0294027 0.997631 0.0621878  
43.5072 -100 112.822  -0.0217675 0.998304 -0.0539914  
74.5097 -100 83.2333  -0.00807945 0.999966 -0.00157525  
34.3577 -100 114.133  0.0324653 0.999275 0.0198671  
81.1588 -100 99.6731  -0.0774592 0.994772 -0.0665552  
64.2893 -100 77.0249  -0.113939 0.993051 0.0294522  
66.7853 -100 69.2108  0.0167057 0.987276 0.158134  
72.1023 -100 80.3876  -0.0199886 0.998647 -0.0480071  
53.3405 -100 101.784  0.0515726 0.998549 0.0155169  
-4.88752 -100 121.584  -0.0196849 0.996792 -0.0775746  
62.7832 -100 68.0237  0.0209993 0.995691 0.0903225  
59.1121 -100 123.664  -0.097229 0.993251 -0.0632435  
53.4185 -100 118.96  -0.06925 0.995071 -0.0709798  
33.0441 -100 117.268  0.00868288 0.999916 -0.00965141  
27.543 -100 79.233  -0.0413488 0.990374 0.1321  
37.4617 -100 136.442  0.0232336 0.999652 -0.0125351  
76.2245 -100 94.0992  0.0262267 0.99965 -0.00355888  
23.774 -100 127.966  -0.0141496 0.995022 -0.0986472  
69.5451 -100 43.0969  0.0180606 0.999161 0.0367682  
3.77179 -100 147.259  0.0633022 0.997838 0.0176565  
50.813 -100 93.1083  0.0709204 0.997438 0.00938728  
39.8211 -100 58.5705  -0.012788 0.992263 0.123497  
58.1544 -100 79.1901  -0.0613696 0.997686 0.0292798  
40.0466 -100 142.72  -0.0778856 0.996928 -0.00827938  
89.7693 -100 125.821  -0.00812303 0.999885 -0.0128388  
75.1539 -100 114.706  0.0330889 0.998479 0.0440922  
31.7414 -100 97.6087  0.0229996 0.999729 0.00357132  
73.9414 -100 108.312  -0.0636375 0.996861 -0.0471104  
19.0368 -100 123.174  0.0140087 0.998389 -0.054977  
54.1423 -100 121.038  -0.100145 0.993467 0.0547231  
54.5229 -100 108.981  0.0618447 0.994218 -0.0877873  
17.6113 -100 60.6733  0.0644793 0.994207 0.0859955  
76.264 -100 120.708  -0.0630357 0.991901 -0.110269  
65.7956 -100 113.73  0.0442905 0.996889 -0.0652019  
70.8602 -100 107.147  -0.102568 0.990243 0.0943324  
68.7404 -100 98.9531  -0.0516338 0.998484 -0.0190718  
83.3979 -100 137.04  0.00161419 0.99999 0.00425403  
48.1599 -100 61.8573  0.0728984 0.997257 0.0128447  
50.5069 -100 151.434  0.0690147 0.997266 0.0264199  
48.8798 -100 106.34  0.0305913 0.996178 -0.0818146  
90.0015 -100 102.974  -0.0204933 0.999435 0.0266267  
57.5484 -100 109.27  -0.0710769 0.996079 0.052681  
54.2242 -100 105.633  -0.0666727 0.996049 -0.0586527  
58.1517 -100 97.6014  -0.0417677 0.998786 -0.0261142  
85.9515 -100 61.8333  -0.0462086 0.989563 0.136488  
33.011 -100 58.4664  0.0214568 0.995897 0.087913  
38.8718 -100 125.882  0.0332443 0.998177 -0.0503788  
67.5846 -100 104.776  -0.107836 0.993266 0.0423623  
-14.4505 -100 114.824  0.035617 0.999056 -0.0248653  
18.5729 -100 62.4269  0.073489 0.995498 0.0598528  
63.1227 -100 149.066  -0.040894 0.998981 -0.0190887  
-0.081643 -100 91.0888  0.0835574 0.996393 -0.0148332  
39.6285 -100 67.8258  -0.0421041 0.995329 0.086872  
91.1521 -100 76.9035  -0.0243969 0.989799 0.140365  
35.8797 -100 113.611  0.0749459 0.995657 -0.0552229  
-18.1845 -100 91.7543  0.0789388 0.994047 0.0750935  
